短均线,长均线,年化收益率,年化波动率,夏普比率,最大回撤,卡玛比率,胜率,平均每日换手率
30,50,0.24818098003257294,0.22401058666475593,1.1012312946764475,-0.38100364071934545,0.6513874239206753,0.2995409334353481,0.031752104055087986
30,60,0.22689112180445958,0.22274324435887197,1.0289169936127072,-0.4139016483558883,0.5481764151114712,0.29456771231828616,0.030221882172915073
10,50,0.20727439136445103,0.22371501809258598,0.9534768848303059,-0.4062280546687288,0.5102414493097462,0.2938026013771997,0.0386381025248661
20,50,0.20677701306847052,0.2265993109308034,0.9424875776673947,-0.3845542116914664,0.5377057558645875,0.297628156082632,0.03481254781943382
10,60,0.19443797372985072,0.2248172837621509,0.9022819843704016,-0.42015221433109007,0.462779838110359,0.2957153787299158,0.03940321346595256
20,60,0.17422256560285243,0.22536746117714496,0.8250401261605628,-0.40808370000524385,0.42692850903041135,0.29456771231828616,0.036342769701606735
10,120,0.11381855816173259,0.21701134460242627,0.6049896313470615,-0.5935183109307809,0.19176924463078054,0.2911247130833971,0.029456771231828615
20,120,0.10163052007681861,0.2189538174360851,0.5513306343326985,-0.6379614219628735,0.15930511873919084,0.2949502677888294,0.02486610558530987
30,120,0.07732366028020876,0.2183429757255895,0.4500589133757378,-0.6392641639710681,0.12095728908043137,0.2949502677888294,0.02180566182096404
