策略,年化收益率,年化波动率,夏普比率,最大回撤,卡玛比率,胜率,平均每日换手率
双均线交叉,0.24818098003257294,0.22401058666475593,1.1012312946764475,-0.38100364071934545,0.6513874239206753,0.2995409334353481,0.031752104055087986
增强双均线,0.14549028107645556,0.13473481445079155,1.075316812544901,-0.2031746721242943,0.7160847341614033,0.25172149961744456,0.04567645981040112
12-1动量,0.13753882199781797,0.22230930810363253,0.6910503727219327,-0.468369506028638,0.29365451898016665,0.45141545524100996,0.00612088752869166
趋势过滤动量,0.16437775104543095,0.25200511359201955,0.7302647464980796,-0.5033786875779143,0.32654888874290716,0.449885233358837,0.011761094834588951
动量低波多因子,0.08713847484539716,0.20329808992650472,0.5128175868019671,-0.4483883201480262,0.1943370755434267,0.449885233358837,0.015302218821729151
低波动,-0.020357182162647813,0.22536363642779644,0.02234793776299618,-0.629649643701736,-0.032330967493234976,0.4586840091813313,0.014919663351185922
风险平价,0.06385811309551603,0.2019831990077263,0.4075210674094917,-0.456893487556016,0.13976586411222794,0.4747513389441469,0.0026469461709947946
